"ID","AREA_calc","Total.N.19.11","PopDen1900","PopDen1910","PopDen1920","PopDen1930","PopDen1940","PopDen1950","PopDen1960","PopDen1970","PopDen1980","PopDen1990","PopDen2000","PopDenEst2007","Income1999","Dist2PortM","RdLengthKM","Forestland","HostSppCnt","TreeDen","ABL_pres","ALB_pres","AOW_pres","BBD_pres","BC_pres","BEBB_pres","BL_pres","BM_pres","BVW_pres","BWA_pres","CB_pres","CBT_pres","CDC_pres","CHS_pres","CS_pres","DED_pres","DWA_pres","EAB_pres","EFW_pres","EHS_pres","EL_pres","ELB_pres","ELC_pres","ELM_pres","EP_pres","EPLR_pres","EPNM_pres","EPS_pres","EPSM_pres","ESB_pres","ESGA_pres","ESN_pres","EWLS_pres","GM_pres","GSA_pres","HWA_pres","IBT_pres","IPS_pres","IWLB_pres","JB_pres","JCLB_pres","JS_pres","LC_pres","LS_pres","LW_pres","MAS_pres","MPB_pres","MPEB_pres","MW_pres","OS_pres","OW_pres","PFW_pres","PHM_pres","POCRD_pres","PRR_pres","PS_pres","PSB_pres","PT_pres","PWB_pres","RLP_pres","RPBB_pres","RPS_pres","SB_pres","SC_pres","SEEBB_pres","SM_pres","SOD_pres","SWW_pres","WM_pres","WPBR_pres","WS_pres","CRS_pres","EBB_pres","GOS_pres","CCS_pres","SBS_pres","SJS_pres","PTB_pres","X_coord","Y_coord"
4262,2335045681,9631933.937,-0.219268303260647,-0.220584098188893,-0.224894548874355,-0.234117302325924,-0.224311283924889,-0.233430510688698,-0.244168436312004,-0.243380551692729,-0.225296749008063,-0.219687513364494,-0.206492815133263,-0.203974038375675,-1.07680644225062,-0.248073190393797,0.695222033572438,0.875470787725986,1.66147991712227,-0.090468661352126,0,0,1,0,0.265832191,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.600673046,0,1,0,0,0,0,1,0,1,1,0.600673046,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,352167.9805,-232686.3649
4438,1518628205,4153573.092,-0.126755289654792,-0.0953257905803312,-0.0881504558513103,-0.0896617757102945,-0.0538074562649027,-0.0616394858892233,-0.0778357857090252,-0.081022771485368,-0.0421926756336651,-0.0405634544523619,-0.0233996723876826,-0.0176902530669,-0.470899732261723,-0.169390625045222,-0.468073041853955,-0.603559547195984,1.34670643734745,-0.106433385829604,0,0,1,0,0.134992602,1,0,0,1,0,0.079088288,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.649186078,1,0,0.21408089,0,0,0,0,0,0.21408089,0.21408089,0.21408089,0.78591911,0,0.78591911,0,0,0,0.21408089,1,0,1,1,0.863266968,0,0,0,0.78591911,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.079088288,0,0,0,0,0,0,1,0,552167.9805,-182686.3649
4439,968047825.3,3445188.413,-0.0592046661730515,-0.0210178756457532,-0.0240608951596003,-0.00798019418551425,0.0312280075837688,0.0148814580190765,0.0114498893315047,0.00745674049644173,0.042691049897423,0.0427669163833975,0.0599344549372252,0.0625951499577645,-0.176428179212257,-0.144869631356136,-0.326637203013044,-0.638613330102998,1.70594795402308,-0.0930668964882511,0,0,1,0,0.115715673,0.80681737,0,0,1,0,0.195668112,0,0,0,1,1,0.070338151,0,0,0,1,0,0,1,0,0,0,0.16070987,0.80681737,0,0.600707599,0,0,0,0,0,0.407524968,0.600707599,0.407524968,0.592475032,0,0.592475032,0,0,0,0.407524968,1,0,1,1,0.708432908,0,0,0,0.592475032,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.195668112,0,0,0,0,0,0,1,0,602167.9805,-182686.3649
4977,900148193.5,8372882.474,-0.100293987597644,-0.0337969139332317,0.047463993641676,0.0222183267541656,0.0385634288951177,0.132234343489356,0.566241023008042,0.884594763218012,1.07373130373623,1.30816682103484,1.54919792869807,1.68630267665372,0.768636423343391,-0.81384314266123,-0.288162539401499,-0.107771101553528,1.50629807936812,-0.00748752987880368,0,0,0.986540041,0,0,0,0,0,1,0,0.183735491,0,0,0,1,1,0.072573069,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.986540041,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0.183735491,0,0,0,1,0,0,1,0,1702167.981,-32686.3649
4620,1179701308,10442812.19,-0.107574133806564,-0.067524933344208,-0.0683035233722773,-0.0623160060019164,-0.00992480269691844,-0.0296201838312535,-0.0698607432098808,-0.0751638958112873,0.00116021500252473,0.0120067766336152,0.0556176628749057,0.0734794172072723,-1.50604799845924,0.150911168981615,-0.072602597578437,0.245789368453631,2.56908253301356,-0.00154678863655015,0,0,1,0,0.26968072,0,0,0,1,0,1,0,0,0,1,1,0.940611132,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.277714474,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0.530039709,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1052167.981,-132686.3649
4899,10954380371,5084841.872,-0.3001386571484,-0.282092118532754,-0.25874911265305,-0.238920390748769,-0.216817954141011,-0.148631407531597,-0.0760669755938628,-0.0273070154620612,0.0493134264899034,0.16186302279012,0.248398511669647,0.295909729875063,0.482509046496402,-1.23567479806141,0.676007502026608,0.185288133210864,-0.474492380741191,-0.149762101333922,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.476953047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.901168467,0,1,0,0,0,0,1,1,0,1,0,1,0.42421542,0,0,0,1,1,0.237437442,0,0,0.42421542,0,0.42421542,0,1,0.42421542,0,1,1,-2197832.02,-32686.3649
4900,11682278047,4232750.375,-0.297132188247861,-0.272277057493934,-0.240389048542023,-0.217697262732954,-0.185545285287335,-0.100701355269064,-0.0191841723887817,0.038455152200984,0.11520443662131,0.240081001602648,0.344737297363439,0.408364782167177,-0.0501981152545046,-1.19788851000364,0.783472236556,0.260128679827406,-0.47027389545952,-0.152985281387795,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.312273947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0.557921371,0,0,0,1,1,0.312273947,0,0,0.687726053,0,0.687726053,0,1,0.557921371,0,1,1,-2147832.02,-32686.3649
4901,12766475237,5602591.285,-0.30162185654648,-0.274207443808381,-0.237255606827387,-0.220526223790405,-0.187537102711873,-0.119619079250683,-0.069564453220681,-0.0329884184374925,0.0422940307525343,0.152805523396432,0.24953480133988,0.326952102087489,-0.705119150222317,-1.25905430918347,0.740928665707573,0.74697686581226,-0.443893590053933,-0.151913539348874,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0.49180545,0,0,0,1,1,0,0,0,1,0,1,0,1,0.885577694,0,1,1,-2097832.02,-32686.3649
4904,19863284736,3482631.338,-0.315477784498953,-0.300551487747341,-0.280607769226565,-0.271897744892636,-0.255022991083674,-0.217589215291944,-0.189374424341719,-0.170952050584241,-0.129048758615474,-0.0720417254785797,-0.0232845217050334,0.0164551723709173,0.00443408611237792,-1.30528343229269,0.112747657938312,0.229962037460206,-0.564106439988964,-0.154747316396154,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.513691883,0,1,0,0,0,0,1,1,0,1,0,1,0.285278717,0,0,0,1,1,0,0,0,0.513691883,0,0.513691883,0,1,0.513691883,0,1,1,-1947832.02,-32686.3649
5071,11681472569,4702382.596,-0.298778031654336,-0.276439069846219,-0.247015931404813,-0.224853735316554,-0.19763089211272,-0.117175872358521,-0.036768729597435,0.0148604839875645,0.0904075931726139,0.207128689928285,0.305961814625724,0.360453931547573,0.160808367836964,-1.17077113749776,0.58364949478656,0.356623062009009,-0.405279827566109,-0.150745466293832,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.312218691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.87004134,0,1,0,0,0,0,1,1,0,1,0,1,0.557822649,0,0,0,1,1,0.312218691,0,0,0.557822649,0,0.557822649,0,1,0.557822649,0,1,1,-2197832.02,17313.6351
